Statement,Verbs
"A co po czyjej wielkości, jak nie ma w głowie mądrości","1, 4, 6, 10, 11"
"Adam cóż by poradził, gdyby Bóg w raju Ewy nie posadził","0, 1, 6, 8, 9"
"Adam i Ewa pokazują, jaki styczeń i luty po nich następują","0, 2, 5, 6, 8"
"adwokat niech głowę, a koń niech ma nogi","0, 2, 5, 8"
Agnieszka łaskawa puszcza skowronka z rękawa,"0, 2, 3, 5"
Ani kura za darmo nie gdacze,"0, 1"
Apetyt rośnie w miarę jedzenia,"0, 1, 3, 4"
"baba o szydle, dziad o mydle","0, 2, 4, 6"
"baba swoje, chłop swoje","0, 1, 3, 4"
"baba swoje, czart swoje","0, 1, 3, 4"
"baba swoje, dziad swoje","0, 1, 3, 4"
"baba z wozu, koniom lżej","0, 2, 4"
"baju, baju – będziesz w raju","0, 2, 6"
"Barbara po wodzie, Boże Narodzenie po lodzie","0, 2, 4, 5, 7"
Barbara święta o górnikach pamięta,"0, 1, 3"
"Bartłomiej zwiastuje, jaka jesień następuje","0, 3, 4"
"bęben dlatego tak głośny, bo próżny","0, 2"
będzie z niego ksiądz jak z diabła kościelny,"3, 4, 6, 7"
"będziesz ty z Litwy albo Kijowa, gdy masz co w mieszku, Warszawa schowa","3, 4, 5, 9, 11, 13"
bez ciekawości nie ma mądrości,"0, 1, 4"
bez kołaczy nie wesele,"0, 1, 3"
bez ludzi i raj się znudzi,"0, 1, 3"
bez pracy nie ma kołaczy,"0, 1, 4"
bez pracy nie ma macy,"0, 1, 4"
bez pracy nie ma płacy,"0, 1, 4"
bez pracy trudno dostąpić honoru,"0, 1, 4"
bez zachodu nie ma miodu,"0, 1, 4"
"bieda z dziećmi, bieda i bez dzieci","0, 2, 4, 6, 7"
"biedna żona taka, która ma pijaka","1, 2, 6"
biednemu zawsze wiatr w oczy,"0, 2, 4"
blisko swej jabłoni jabłko pada,"2, 3"
bliższa koszula ciału,"1, 2"
bliższa koszula ciału niż kaftan,"1, 2, 3, 4"
bliższa koszula ciału niż sukmana,"1, 2, 3, 4"
Bóg bez pracy nic nie daje,"0, 1, 2, 3"
"Bóg dał, Bóg wziął","0, 3"
"Bóg nie opuści, kto się nań spuści","0, 4"
"Bóg pomaga tym, co sami sobie pomagają","0, 2, 4, 6"
"Boga na języku, a diabła ma w sercu","0, 2, 5, 8"
bogatemu diabeł dzieci kołysze,"0, 1, 2"
bogatemu to i byk się ocieli,"0, 1, 3"
"Bogu się kłaniaj, a diabła nie gniewaj","0, 5"
"Bogu służ, a diabła nie gniewaj","0, 4"
"Bogu świeczka, a diabłu ogarek","0, 1, 4, 5"
"bój się w styczniu wiosny, bo marzec zazdrosny","0, 3, 4, 7, 8"
"Boże Narodzenie po wodzie, Wielkanoc po lodzie","0, 1, 3, 5, 7"
broda mędrcem nie czyni,"0, 1"
być w Rzymie i nie widzieć papieża,"0, 2, 6"
"było dwóch braci mądrych, a trzeci żonaty","2, 6, 7"
cała mądrość nie mieści się w jednej głowie,"1, 7"
cel uświęca środki,"0, 2"
"chcąc poznać przyjaciela, trzeba z nim beczkę soli zjeść","2, 7, 8"
"chcesz córuni, podobaj się wprzód mamuni","1, 6"
"chcesz się dostać do nieba, nie żałuj biednym kęsa chleba","3, 4, 8, 9, 10"
chleb cudzym nożem krajany - niesmaczny,"0, 1, 2"
"chleb i woda, nie ma głoda","0, 2, 6"
chleb ma rogi,"0, 2"
"chleb ma rogi, nędza nogi","0, 2, 4, 5"
"chleb płacze, gdy go darmo jedzą","0, 1, 4"
"chleb pracą nabyty, bywa smaczny i syty","0, 1, 7"
"chleb stracił, a bułki nie znalazł","0, 4"
chleb świętej Agaty od ognia strzeże chaty,"0, 1, 2, 3, 4, 6"
chleb w drodze nie cięży,"0, 2"
"chleb, piwo i świéca zdobią szlachcica","0, 2, 6"
chlebem i solą ludzie ludzi niewolą,"0, 2, 3, 4, 5"
chłop mowny a kot łowny z głodu nie zemrą,"0, 3, 6"
"chłop się nie przeżegna, dopóki piorunu nie usłyszy","0, 6"
"chłop strzela, a Bóg kule nosi","0, 4, 5"
"chłop, co musi, rad uczyni","0, 2, 5"
chłopa korcem nie mierzą,"0, 1"
"chłopa na korce, a rozumu na lata nie mierzą","0, 2, 5, 7"
"choć już w kwietniu słonko grzeje, nieraz pole śnieg zawieje","3, 4, 8, 9, 10"
"choćby chleb był rżany, byle leżany",1
chytry dwa razy traci,2
ciągnie swój do swego,2
cicha woda brzegi rwie,"1, 2, 3"
ciekawość to pierwszy stopień do piekła,"0, 1, 2, 3, 4, 5"
"cierp ciało, skoroś chciało",1
"ciesz się nadzieją do ostatka, bo nadzieja głupich matka","2, 3, 4, 7, 8, 9"
cnota naukę przechodzi,"0, 1"
cnota zawżdy na dobre wynidzie,"0, 3"
"co Anglik zmyśli, Francuz skréśli, a Niemiec doma nakrupi, wszystko to głupi Polak kupi","0, 1, 4, 8, 12, 13, 14, 15, 16"
"co dwie głowy, to nie jedna","0, 2, 4"
"co Francuz wymyśli, to Polak polubi","0, 1, 4, 5, 6"
